ingr_descr_eng,foodex2_ingr_code,ingr_code
"*BEEF CUBES,SINGLE PIECES HIGH FAT,FRESH, (MEDIUM),RAW *STIR",A01QX#F28.A07GT$F10.A0CRE$F03.A06JB,16088
"*SLENDER LEAF LEAVES,FRESH,W/O STALKS,RAW*BOILED*",A00KR#F28.A07GL$F26.A07XE$F20.A07QH,18914
"*SLENDER LEAF LEAVES,FRESH,W/O STALKS,RAW",A00KR#F26.A07XE$F20.A07QH,18913
"*BREAD,  WHOLE WHEAT,(BROWN)SLICES,L",A005E#F03.A06JA,1116
"*BEEF CUBES,SINGLE PIECES, MEDIUM FAT,FRESH,(LARGE), RAW *ST",A01QX#F28.A07GT$F10.A077B$F03.A06JB,16093
"*BEEF CUBES,SINGLE PIECES, MEDIUM FAT,FRESH, (LARGE),RAW",A01QX#F10.A077B$F03.A06JB,16090
"*ARROW ROOT CHOPS, WO/SKIN H, (MEDIUM),RAW,*BOILED*",A010G#F28.A07GL$F03.A06JB$F20.A07QR,5046
"*BEEF CUBES,SINGLE PIECES, LOW FAT,FRESH, (MEDIUM),RAW *STIR",A01QX#F28.A07GT$F10.A077C$F03.A06JB,16100
"*SHEEP MEAT,MUTTON,  LOW FAT, W BONE,FRESH, RAW",A01RJ#F10.A077C$F10.A166Y$F20.A07QL,16128
"*SWEETPOTATO,WHITE,WO/SKIN,FRESH,WHOLE,B(MEDIUM),RAW,*BOILED",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F03.A06HY$F20.A07QR,3030
"* JUICE POWDER ,ORANGE CONCENTRATE (POWDER),(LTSP)",A03CG#F27.A0DZB,27062
"*CHILLI, RED, FRESH,(SMALL),RAW",A00JB#F10.A0F2S$F10.A166Y,29055
"*FISH,NILE PERCH, FRESH, CHOPPED,FISH TAIL, (SMALL),RAW,*DEE",A028N#F28.A07GV$F10.A166Y$F03.A06HZ,14143
"*CASSAVA ROOT,FRESH ,W/SKIN, B,(MEDIUM),RAW",A00ZZ#F10.A166Y$F20.A07QQ,2002
"*CASSAVA ROOT,FRESH,W/SKIN, B (MEDIUM),RAW,*BOILED*",A00ZZ#F28.A07GL$F10.A166Y$F20.A07QQ,2008
"*ARROW ROOT CHOPS,WO/SKIN F, (SMALL),RAW,*BOILED*",A010G#F28.A07GL$F03.A06JB$F20.A07QR,5036
*ICE CREAM,A02QA,9023
"*SWEETPOTATO,YELLOW, W/SKIN,FRESH, PIECES, G,(LARGE), RAW ,",A010C#F10.A166Y$F10.A0F5H$F20.A07QQ,4008
"*GROUNDNUTS,DRIED,W SKIN,DRIED,RAW",A015H#F20.A07QQ,8944
"*CHICKEN,W/O BONE,UNSPECIFIED PART,SKIN&MEAT,RAW *BOILED*",A01SP#F28.A07GL$F20.A07QM$F20.A07QQ,13002
*RED WINE,A03MX,27069
SALAMI(STANDARD),A025V,16160
CHEESE,A02QE,9028
"*VEGETABLE OIL,OLIVE OIL,RAW,(LTBS)",A036P,25038
OLIVES,A01HH,29113
"*PAPAYA, WHOLE, A, FRESH,RAW(LARGE),",A01LG#F10.A166Y$F03.A06HY,30039
STRAWBERRY (RAW),A01EA,30238
"MUESLI-OATS, SUNFLOWER SEEDS,NUTS",A00EL#F04.A000G$F04.A014C$F04.A015L,8959
"*SILVER CYPRINID,SMALLFISH, SUN DRIED, VOL,RAW, *STIR FRIED*",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK$F28.A07GT,14019
"*Pasta,spaghetti,brown,unrefined,raw*boiled*",A007L#F28.A07GL$F10.A06HR,1072
"*SUGAR,GRANULATED,FORTIFIED,RAW, (VOL)",A032H#F10.A0F6C,26015
"*FISH, TILAPIA, FRESH, WHOLE FISH,  (SMALL),RAW,*DEEP FRIED*",A0F8L#F28.A07GV$F10.A166Y$F03.A06HY,14029
"*ORANGE JUICE EXTRACT,DILUTED,FRESH,RAW",A03BG,27060
"*BANANA, GREEN BANANA, FRESH, (SMALL),RAW",A01LE#F10.A0F2Q$F10.A166Y,5004
"*MILK,POWDER,WHOLE,DRIED,(HTBS)",A02PK,9007
"*RICE FLOUR, REFINED, RAW",A003F#F10.A07XK,1033
"*SILVER CYPRINID, SUN DRIED, VOL,RAW, *STIR FRIED*",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK$F28.A07GT,14019
"*FISH,TILAPIA, FRESH, CHOPPED,FISH TAIL,(LARGE),DEEP FRIED,*",A0F8L#F28.A07GV$F10.A166Y$F03.A06HZ,14129
"*VEGETABLE OIL ,FRY,RAW,(VOL)",A036N#F22.A07SH,25007
"*SILVER CYPRINID,SUNDRIED, VOL,RAW",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK,14013
"*PLUMPY NUT, RUTF",A03RP#F04.A015H$F04.A032R$F04.A02PJ$F04.A036N$F09.A0EVG$F09.A0EVF$F03.A06JF,8954
"*WEETABIX, ONE PIECE",A00EZ,1062
"*SILVER CYPRINID, SUNDRIED, VOL,RAW",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK,14013
"*VEGETABLE FAT,COW BOY,RAW,(LTSP)",A036N#F10.A0F5H$F22.A07SH,25022
"*KALE  LEAVES,FRESH,W/O STALKS,RAW",A00GN#F10.A166Y$F20.A07QH,18001
"*BEEF,TRIPES,RAW*BOILED*",A020V#F28.A07GL,16103
"*BEANS,BORLOTI,DRIED,RAW*BOILED*",A012T#F28.A07GL,8902
"*COWPEA LEAVES,,FRESH,W/O STALKS,RAW",A0DKA#F10.A166Y$F20.A07QH,18071
"*PAWPAW,SLICES, F, FRESH,(SMALL), RAW",A01LG#F10.A166Y$F03.A06JA,30044
"*EGG,CHICKEN,YOLK,RAW*BOILED*",A031S#F28.A07GL,17005
"*SOUR MILK,TRADITIONAL",A02NT,9021
"*SILVER CYPRINID,  FRESH,VOL,RAW",A0F1C#F01.A0K2S$F10.A166Y,14175
"*GROUNDNUT FLOUR,ROASTED,W SKIN,RAW",A0F0N#F27.A015H$F28.A07GY$F03.A06JD$F20.A07QQ,8950
"*PUMPKIN, PUMPKIN CUTS, W/O SKIN, E,(MEDIUM),RAW*BOILED*",A00KH#F28.A07GL$F10.A166Y$F03.A06JA$F20.A07QR,29043
"*BROCOLLI,FRESH, RAW*BOILED*",A00FN#F28.A07GL$F10.A166Y,18940
"*KALE LEAVES,FRESH,W/O STALKS,RAW*STIR FRIED*",A00GN#F28.A07GT$F10.A166Y$F20.A07QH,18905
"*SPINACH LEAVES,FRESH,W/O STALKS,RAW*STIR FRIED*",A00MJ#F28.A07GT$F10.A166Y$F20.A07QH,18931
"*VEGETABLE FAT, (VOL)",A036N,25026
"*VEGETABLE FAT,CHIPSY, FORTIFIED,RAW,(VOL)",A036N#F10.A0F5H$F10.A0F6C$F22.A07SH,25044
"*VEGETABLE FAT,FORTIFIED,RAW,(LTSP)",A036N#F10.A0F6C$F22.A07SH,25045
"*SOUR MILK,TRADITIONAL,FRESH,RAW",A02NT#F10.A166Y,9010
"*ONION,SPRING ONION,WHOLE STICK,RAW",A00HH#F03.A06HY,29159
*HARD FRIED DOUGH(STANDARD),A16FY#F10.A0CJP,1082
"*SWEETPOTATO,WHITE,WO/SKIN,FRESH,WHOLE,C(SMALL),RAW,*BOILED*",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F03.A06HY$F20.A07QR,3031
"*IRISH POTATO,FRESH, W/SKIN,WHOLE ,(LARGE),RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QQ,2042
BANANA FLOUR(VOL),A01MA#F27.A01LE$F03.A06JD,5137
"*TRADITIONAL BICABORNATE OF SODA,(VOL)",A048Q,30120
"*SILVER CYPRINID,VOL,RAW",A0F1C#F01.A0K2S,14013
"*SILVER CYPRINID,  VOL,RAW",A0F1C#F01.A0K2S,14013
"*ORANGES, YELLOW TYPE, C,(SMALL),FRESH, RAW",A0DZB#F10.A166Y$F10.A0F5H,30061
"*IRISH POTATOES, FRESH, WEDGES, B, (MEDIUM),RAW,*DEEP FRIED*",A00ZT#F28.A07GV$F10.A166Y,2076
"*SOFT DOUGH FRIED, RECTANGLE, F,(SMALL),",A16FY,30212
"*SWEETPOTATO, YELLOW,  W/SKIN,FRESH, WHOLE, C  (SMALL),RAW,",A010C#F10.A166Y$F10.A0F5H$F03.A06HY$F20.A07QQ,4004
"*COCOA,POWDER,(LTBS)",A03HG,27052
"*IRISH POTATOES, FRESH, CUBES, F, (SMALL), RAW,*STIR FRIED*",A00ZT#F28.A07GT$F10.A166Y$F03.A06JB,5074
"*SOFT DOUGH FRIED, TRIANGLE C,(SMALL),",A16FY,30209
"*WATERMELON, SLICES,F,(SMALL),FRESH,RAW",A00KJ#F10.A166Y$F03.A06JA,30058
"*Maize flour,white,refined,raw*boiled*",A002Q#F28.A07GL$F10.A07XK,1098
"*KALE, LEAVES,FRESH,W/O STALKS,RAW",A00GN#F10.A166Y$F20.A07QH,18001
"*SPIDERPLANT LEAVES,FRESH,W/O STALKS,RAW*BOILED*",A00KR#F01.A144K$F28.A07GL$F10.A166Y$F20.A07QH,18062
"*SOFT DOUGH FRIED, RECTANGL, E,(MEDIUM)",A16FY,30211
"*BEEF,TRIPES,RAW",A020V,16102
"*PILAU MASALA,(LTBS)",A042Z,30154
"*IRISH POTATO,FRESH, W/SKIN,WHOLE , (SMALL),RAW,*BOILED*",A00ZT#F28.A07GL$F10.A166Y$F03.A06HY$F20.A07QQ,2048
"*PAWPAW,SLICES, E, FRESH,(MEDIUM), RAW",A01LG#F10.A166Y$F03.A06JA,30043
"*BEEF CUBES,SINGLE PIECES, MEDIUM FAT,FRESH,  (SMALL),RAW *D",A01QX#F28.A07GV$F10.A077B$F03.A06JB,16092
"*KALE LEAVES,FRESH,W/O STALKS,RAW*BOILED*",A00GN#F28.A07GL$F10.A166Y$F20.A07QH,18002
"*VEGETABLE FAT,SOMO,RAW,(HTSP)",A036N#F10.A0F5H$F22.A07SH,25051
"*COCOA,BEVERAGE,(VOL)",A03KY,27048
"*PAWPAW,SLICES, D, FRESH, RAW(LARGE),",A01LG#F10.A166Y$F03.A06JA,30042
"*SUGAR,GRANULATED,FORTIFIED,RAW,(LTBS)",A032H#F10.A0F6C,26018
"*BEANS,BORLOTTI,DRIED,RAW*BOILED*",A012T#F28.A07GL,8902
"*BEEF, BEEF CUBES, GROUPED,MEDIUM FAT,FRESH,  (MEDIUM),RAW *",A01QX#F10.A166Y$F10.A077B$F03.A06JB,11036
"*MAIZE FLOUR,WHITE,REFINED,RAW*BOILED*",A002Q#F28.A07GL$F10.A0F2R$F10.A07XK,1098
"*PANCAKE,M",A00CL,1084
"*FISH, NILE PERCH, FRESH, WHOLE FISH, (LARGE),RAW",A028N#F10.A166Y$F03.A06HY,14007
"*SWEETPOTATO,YELLOW, WO/SKIN,FRESH, PIECES, I,  (SMALL),RAW, BOILED",A010C#F28.A07GL$F10.A166Y$F10.A0F5H$F20.A07QR,4037
"*VEGETABLE FAT,,RAW,(LTBS)",A036N,25019
"*BEANS,BORLOTTI,DRIED,RAW",A012T#F28.A07HS,8901
"*MILK,COWS MILK,PROCESSED, LOW FAT,FRESH, BOILED",A02LZ#F28.A07GL$F10.A166Y,9012
*VEGETABLE FAT(LTSP),A036N,25027
"*WHEAT FLOUR,UNREFINED,RAW*",A004B,1059
"*BEEF CUBES,SINGLE PIECES, MEDIUM FAT,FRESH, (MEDIUM),RAW *STIR FRIED*",A01QX#F28.A07GT$F10.A077B$F03.A06JB,16094
"*SILVER CYPRINID,  SUN DRIED, VOL,RAW, *BOILED*",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK$F28.A07GL,14015
"*GUAVA,YELLOW FLESHED,FRESH,W SKIN,RAW,(STANDARD)",A0CGD#F10.A166Y$F10.A0F5H$F20.A07QQ,30049
"*VEGETABLE OIL,SOYBEAN OIL,RAW,(LTBS)",A036X,25015
"*beef,tripes,raw*boiled*",A020V#F28.A07GL,16103
"*TOMATO,SEMI RIPE,FRESH,W/O SKIN,(MEDIUM),RAW",A0DMX#F10.A0F5G$F10.A166Y$F20.A07QR,29127
"*VEGETABLE FAT,TILY,RAW,(HTBS)",A037N#F22.A07SH,25043
"*VEGETABLE FAT,CHIPSY, FORTIFIED,RAW,(LTBS)",A036N#F10.A0F5H$F10.A0F6C$F22.A07SH,25047
"*VEGETABLE FAT,CHIPSY, FORTIFIED,RAW,(HTBS)",A036N#F10.A0F5H$F10.A0F6C$F22.A07SH,25048
"*BEEF, BEEF CUBES,GROUPED, LOW FAT,FRESH, VOL,RAW",A01QX#F10.A166Y$F10.A077C$F03.A06JB,11050
"*BANANA,GREEN BANANA, FRESH,(LARGE),RAW,*BOILED*",A01LE#F28.A07GL$F10.A0F2Q$F10.A166Y,5006
"*VEGETABLE FAT,TILY,RAW,(VOL)",A037N#F22.A07SH,25039
"*SOFT DOUGH FRIED, RECTANGLE, E,(MEDIUM)",A16FY,30211
"*TOMATO,SEMI RIPE,FRESH,W/O SKIN,(SMALL),RAW",A0DMX#F10.A0F5G$F10.A166Y$F20.A07QR,29128
"*TOMATO,SEMI RIPE,FRESH,W/O SKIN,(LARGE),RAW",A0DMX#F10.A0F5G$F10.A166Y$F20.A07QR,29126
"*MANGO,RIPE,W/SKIN,FRESH,(SMALL),RAW",A01LF#F10.A07XL$F10.A166Y$F20.A07QQ,30035
"*PINEAPPLE,SLICES,FRESH,(SMALL),RAW",A01LP#F10.A166Y$F03.A06JA,30047
"*SOUR MILK,PROCESSED",A02NT,9020
"*SOUR MILK,FRESH,BOILED",A02NT#F28.A07GL$F10.A166Y,9011
"*WATERMELON, SLICES,E,(MEDIUM),FRESH,RAW",A00KJ#F10.A166Y$F03.A06JA,30057
"*SCONES, WHEAT, REFINED FLOUR,A,(MEDIUM)",A00CM#F04.A003X$F10.A07XK,1110
"*BANANA,GREEN BANANA, FRESH,(MEDIUM),RAW,*BOILED*",A01LE#F28.A07GL$F10.A0F2Q$F10.A166Y,5007
*HARD FRIED DOUGH  (STANDARD),A16FY#F10.A0CJP,1082
"*MILK,POWDER,WHOLE,DRIED,(HTSP)",A02PK,9005
"*CORRIANDER POWDER, POWDER,(VOL)",A018D#F03.A06JD,30163
"*FISH,NILE PERCH, FRESH, CHOPPED,FISH TAIL, (SMALL),RAW,*DEEP  FRIED*",A028N#F28.A07GV$F10.A166Y$F03.A06HZ,14143
"*SOFT DOUGH FRIED, RECTANGLE , D,(LARGE),",A16FY,30210
"*CARDAMON,POWDER,(LTBS)",A018V#F03.A06JD,30104
"*VEGETABLE FAT,FORTIFIED,RAW,(HTBS)",A036N#F10.A0F6C$F22.A07SH,25048
"*SWEET PEPPER,GREEN,RAW (MEDIUM)",A00JA#F10.A0F2Q,29166
"*CASSAVA, FRESH,VOL,RAW*BOILED*",A00ZZ#F28.A07GL$F10.A166Y,2081
"*VEGETABLE FAT,SOMO,RAW,(LTBS)",A036N#F10.A0F5H$F22.A07SH,25052
"*FISH,TILAPIA, FRESH, CHOPPED,FISH TAIL,(MEDIUM),RAW,*BOILED",A0F8L#F28.A07GL$F10.A166Y$F03.A06HZ,14115
"*FISH,NILE PERCH, FRESH, CHOPPED,FISH TAIL,(MEDIUM),RAW,*DEE",A028N#F28.A07GV$F10.A166Y$F03.A06HZ,14142
"*CASSAVA, FRESH,VOL, RAW",A00ZZ#F10.A166Y,2082
